Station_ID,City,Install_Date,Charger_Type,Daily_Avg_Utilization_Hrs,Avg_Charging_Rate_INR,Electricity_Cost_INR,Total_Energy_Dispensed_kWh,Maintenance_Incidents,Total_Maintenance_Cost_INR,Operational_Status,Install_Cost_INR
EV-0001,Hyderabad,2023/10/17,L2,4.1148456306341945,20.925641970063733,7.165686925959428,75105.47669331294,6,22618.009068458232,Active,226092.8632935952
EV-0002,Kochi,25-04-2022,DCFC,4.115988467450755,17.4931288816776,8.583442978498066,36252.30509535167,6,11685.221550825994,Active,1457005.4341940193
EV-0003,Bangalore,2022/01/26,DCFC,6.888372327215289,17.293584207764756,7.846511968031033,57363.36818212357,4,32122.42195609179,Active,1518838.9841977933
EV-0004,Kochi,2024/01/30,L2,1.6587031637297107,17.226948553648796,5.940195012591678,42837.138665931954,2,15610.404385167705,Active,164965.068393321
EV-0005,Kochi,2022/10/09,L2,5.299494064632453,20.232639900524113,6.413898341178037,54918.07727349936,4,11618.158384943517,Active,268306.42842204345
EV-0006,hydrabad,2022/09/08,DCFC,8.285215282381328,21.715281842232436,7.33702121991078,37915.793858840596,6,14425.09298375881,Active,1494138.0488771612
EV-0007,Bangalore,17-08-2022,l2,6.934790209584406,19.664334088960118,8.41515398434871,68392.34551327184,3,8731.287305519047,Active,292518.5183186048
EV-0008,Bangalore,23-05-2022,L2,6.076872789859234,18.814324699737636,7.337920211666031,38196.026746941716,2,16083.666815221355,Active,214307.42637717942
EV-0009,Bangalore,25-01-2024,L2,6.822661995600423,17.611689284734457,7.408883262615291,20791.414629933537,3,15152.750396818557,Active,161730.8485366642
EV-0010,Kochi,2022/04/15,L2,5.277546281427105,19.158746291167052,8.763260921874842,80506.71223614743,6,17637.237305585502,Active,168242.84795448644
EV-0011,Hyderabad,24-11-2023,DCFC,1.6302834068413192,16.859756559807582,7.444987880550313,56637.450193518955,1,19395.76196542369,Active,1574884.1146399563
EV-0012,Bangalore,2024/01/29,DCFC,15.226734518165546,14.628468905577524,9.33080724203441,33963.09853372808,4,23367.118326399042,Active,1499022.8672705516
EV-0013,Madurai,13-07-2023,L2,9.177811434461628,21.773651380224898,9.165123739820135,47565.933273962946,5,7618.391726112688,Active,286173.9217393928
EV-0014,chennai,2022/03/31,L2,4.6796080598305325,16.48837465927578,8.021881320571318,41347.14357924674,4,19661.81666236524,Active,192247.51669427782
EV-0015,Coimbatore,2023/08/28,L2,6.122910948483611,17.85033525266136,8.753461451658328,50086.12170206659,2,15073.31983389833,Active,284831.8560868987
EV-0016,Hyderabad,2023/03/09,L2,5.907502072349599,19.81271490125858,8.617240454356383,62041.71253872231,2,5529.686944683122,Active,266026.0273201419
EV-0017,Madurai,2022/02/02,DCFC,7.378222023561354,21.368933738692107,7.754334724040596,59686.68639355446,3,16548.074019823194,Active,1316621.443959682
EV-0018,Madurai,2022/01/31,L2,10.724733641565724,19.01426130483724,8.861634662972147,53805.93530762771,3,16925.61986954143,Active,182105.95376549487
EV-0019,Coimbatore,2022/04/06,L2,9.399478113223264,16.112578024678342,9.008902055390527,50078.79669964263,3,13207.60179534837,Active,239354.02437203523
EV-0020,Hyderabad,2022/08/12,L2,5.55771443646526,17.8973071006169,7.0475647692095995,66180.06136292015,6,14010.815715814417,Active,164038.3698108634
EV-0021,Kochi,27-08-2022,L2,7.856159653750592,17.143029189949843,8.153548638320741,21118.126724946596,0,,Active,180342.1151309064
EV-0022,Chennai,2023/06/02,l2,9.635892171431781,18.423577945057357,8.142503822576165,38766.00960109343,4,17080.633397578138,Active,196485.33410059026
EV-0023,Hyderabad,2023/09/09,DCFC,7.520862910986946,20.96396894253927,8.849619467450704,35320.057501157484,1,15699.95692496439,Active,1739614.3173896186
EV-0024,Coimbatore,2022/01/28,L2,6.488251488899569,13.425222807860232,7.556141649550663,65093.86659504337,4,10458.85649854448,Offline,153707.1569082725
EV-0025,Madurai,29-07-2023,dcfc,7.6150002366679646,17.67722033994502,7.402239667223571,38913.61076482293,1,23089.852893941228,Active,1597917.4952090038
EV-0026,Kochi,2022/07/23,L2,4.741821193591317,17.531900727225963,8.168999660311153,30710.669115643275,1,11670.984653370208,Active,160620.52705693827
EV-0027,Hyderabad,04-01-2024,L2,5.1067971897397975,15.98647731020872,9.181359223253573,58239.91319175399,3,1467.4077109256832,Active,206473.52930169407
EV-0028,Chennai,28-10-2023,L2,3.8399144119972566,19.670981487499233,6.800622884590066,36368.78628635412,2,12646.628818704314,Active,162163.44424928763
EV-0029, BANGALORE ,2023/12/20,DCFC,13.081790324566095,15.670048256247904,6.975193846662872,44739.102762374634,2,,Under Maintenance,1546383.8509138487
EV-0030, BANGALORE ,2023/07/13,DCFC,11.10868692289993,15.90021144140735,7.479495092029412,85717.15851322547,4,20951.009725875454,Active,1561506.8025318931
EV-0031,Kochi,2023/03/06,L2,4.442204846629801,20.202138428041227,7.657422927918447,61807.0783100521,3,6826.101109578606,Under Maintenance,282713.5365393687
EV-0032,hydrabad,2022/08/14,L2,6.089551470948737,21.50114273792534,6.234417197562485,46834.39088877988,3,9859.542780750704,Active,229533.2979887289
